Fabricante,Edad,Primera Dosis,Primera Dosis (std),Segunda Dosis,Segunda Dosis (std),Cuarta Dosis,Cuarta Dosis (std),Dosis Refuerzo,Dosis Refuerzo (std),Dosis Única,Unica Dosis
Campaña SARS-CoV-2 (Moderna),10,0.0,0.0,0.0,0.0,238.0,238.0,42.0,42.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),10,605.0,605.0,287.0,287.0,29894.0,29894.0,164364.0,164364.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),10,244094.0,244094.0,234990.0,234990.0,9.0,9.0,103.0,103.0,0.0,0.0
,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),11,0.0,0.0,0.0,0.0,945.0,945.0,152.0,152.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),11,707.0,707.0,459.0,459.0,32283.0,32283.0,177304.0,177304.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),11,247914.0,247914.0,240173.0,240173.0,38.0,38.0,111.0,111.0,0.0,0.0
,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),12,0.0,0.0,0.0,0.0,808.0,808.0,116.0,116.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),12,53647.0,53647.0,50327.0,50327.0,57453.0,57453.0,207059.0,207059.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),12,213775.0,213775.0,210866.0,210866.0,38.0,38.0,99.0,99.0,0.0,0.0
,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),13,0.0,0.0,0.0,0.0,758.0,758.0,114.0,114.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),13,52513.0,52513.0,49810.0,49810.0,57567.0,57567.0,193945.0,193945.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),13,196496.0,196496.0,194081.0,194081.0,35.0,35.0,89.0,89.0,0.0,0.0
,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
CanSino,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),14,0.0,0.0,0.0,0.0,599.0,599.0,128.0,128.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),14,119321.0,119321.0,116783.0,116783.0,80490.0,80490.0,205685.0,205685.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),14,136215.0,136215.0,134221.0,134221.0,45.0,45.0,79.0,79.0,0.0,0.0
,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),15,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),15,0.0,0.0,0.0,0.0,458.0,458.0,130.0,130.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),15,171390.0,171390.0,168946.0,168946.0,97623.0,97623.0,203122.0,203122.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),15,74357.0,74357.0,72629.0,72629.0,25.0,25.0,81.0,81.0,0.0,0.0
,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),16,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),16,0.0,0.0,0.0,0.0,1969.0,1969.0,265.0,265.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),16,195568.0,195568.0,193108.0,193108.0,114710.0,114710.0,207561.0,207561.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),16,48658.0,48658.0,47025.0,47025.0,46.0,46.0,82.0,82.0,0.0,0.0
,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),17,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
CanSino,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Janssen),17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),17,0.0,0.0,0.0,0.0,59977.0,59977.0,10820.0,10820.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),17,202342.0,202342.0,199961.0,199961.0,91399.0,91399.0,203551.0,203551.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),17,37839.0,37839.0,36264.0,36264.0,67.0,67.0,80.0,80.0,0.0,0.0
,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),18,1052.0,1052.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
CanSino,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79900.0,79900.0
Campaña SARS-CoV-2 (Janssen),18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (Moderna),18,0.0,0.0,0.0,0.0,81299.0,81299.0,9771.0,9771.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),18,93206.0,93206.0,91653.0,91653.0,96160.0,96160.0,224071.0,224071.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),18,86535.0,86535.0,84309.0,84309.0,89.0,89.0,195.0,195.0,0.0,0.0
,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),19,980.0,980.0,36.0,36.0,0.0,0.0,2.0,2.0,0.0,0.0
CanSino,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37552.0,37552.0
Campaña SARS-CoV-2 (Janssen),19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Campaña SARS-CoV-2 (Moderna),19,0.0,0.0,0.0,0.0,80818.0,80818.0,8761.0,8761.0,0.0,0.0
Campaña SARS-CoV-2 (Pfizer),19,113534.0,113534.0,111858.0,111858.0,91963.0,91963.0,217732.0,217732.0,0.0,0.0
Campaña SARS-CoV-2 (Sinovac),19,101464.0,101464.0,98975.0,98975.0,91.0,91.0,193.0,193.0,0.0,0.0
,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Campaña SARS-CoV-2 (AstraZeneca),20,991.0,991.0,42.0,42.0,0.0,0.0,5.0,5.0,0.0,0.0
CanSino,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21215.0,21215.0
Campaña SARS-CoV-2 (Janssen),20,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
